,Nottingham,Cambridge,Cardiff,Norwich,Portsmouth,Birmingham,Exeter,Preston,Leeds,Oxford
Month_1,254.56507936507936,153.57619047619045,228.7777777777778,196.46825396825398,182.85079365079363,184.2936507936508,211.7825396825397,280.42063492063494,124.38253968253967,225.731746031746
Month_2,254.82685542685542,153.8280566280566,229.04354354354356,196.55062205062208,183.05143715143714,184.54075504075504,212.3999141999142,280.7391677391678,124.68549978549977,226.02505362505363
Month_3,255.08863148863148,154.07992277992275,229.30930930930933,196.63299013299016,183.25208065208062,184.7878592878593,213.01728871728872,281.05770055770057,124.98845988845989,226.31836121836122
Month_4,255.35040755040754,154.3317889317889,229.5750750750751,196.71535821535824,183.45272415272413,185.03496353496354,213.63466323466324,281.3762333762334,125.29141999141999,226.6116688116688
Month_5,255.6121836121836,154.58365508365506,229.84084084084085,196.7977262977263,183.65336765336764,185.2820677820678,214.25203775203775,281.6947661947662,125.59438009438009,226.9049764049764
Month_6,255.87395967395966,154.8355212355212,230.10660660660662,196.8800943800944,183.85401115401115,185.52917202917203,214.86941226941227,282.01329901329905,125.89734019734018,227.19828399828398
Month_7,256.13573573573575,155.08738738738737,230.37237237237238,196.96246246246247,184.05465465465463,185.7762762762763,215.48678678678678,282.33183183183183,126.20030030030028,227.4915915915916
Month_8,256.3975117975118,155.33925353925352,230.63813813813817,197.04483054483057,184.25529815529814,186.02338052338052,216.1041613041613,282.6503646503647,126.5032604032604,227.7848991848992
Month_9,256.6592878592879,155.59111969111967,230.90390390390394,197.12719862719865,184.45594165594164,186.27048477048479,216.72153582153584,282.96889746889747,126.8062205062205,228.07820677820678
Month_10,256.92106392106393,155.84298584298583,231.1696696696697,197.20956670956673,184.65658515658515,186.51758901758902,217.33891033891035,283.2874302874303,127.1091806091806,228.37151437151437
Month_11,257.18283998284,156.09485199485198,231.43543543543547,197.2919347919348,184.85722865722863,186.76469326469328,217.95628485628487,283.6059631059631,127.4121407121407,228.66482196482195
Month_12,257.44461604461605,156.34671814671813,231.70120120120123,197.37430287430288,185.05787215787214,187.0117975117975,218.57365937365938,283.92449592449594,127.71510081510081,228.95812955812954
