,Nottingham,Cambridge,Cardiff,Norwich,Portsmouth,Birmingham,Exeter,Preston,Leeds,Oxford
Month_1,581.7720652173912,574.4042753623189,577.6897101449275,577.0443115942029,577.6050724637681,572.9251449275362,583.3657608695653,578.5222826086957,578.5417753623188,578.2414855072465
Month_2,583.7249304347826,575.884484057971,579.3948536231884,578.6040898550725,579.2854115942029,574.3101231884057,585.5351217391304,580.2256652173913,580.413684057971,580.1154376811595
Month_3,585.6777956521738,577.3646927536232,581.0999971014493,580.163868115942,580.9657507246377,575.6951014492753,587.7044826086957,581.929047826087,582.2855927536232,581.9893898550725
Month_4,587.6306608695652,578.8449014492754,582.80514057971,581.7236463768116,582.6460898550724,577.0800797101449,589.8738434782609,583.6324304347827,584.1575014492753,583.8633420289856
Month_5,589.5835260869565,580.3251101449275,584.5102840579709,583.2834246376812,584.3264289855072,578.4650579710144,592.0432043478261,585.3358130434783,586.0294101449275,585.7372942028986
Month_6,591.5363913043477,581.8053188405797,586.2154275362318,584.8432028985508,586.006768115942,579.850036231884,594.2125652173913,587.0391956521739,587.9013188405797,587.6112463768117
Month_7,593.4892565217391,583.2855275362319,587.9205710144927,586.4029811594203,587.6871072463767,581.2350144927535,596.3819260869566,588.7425782608697,589.7732275362318,589.4851985507247
Month_8,595.4421217391304,584.765736231884,589.6257144927536,587.9627594202899,589.3674463768116,582.6199927536231,598.5512869565217,590.4459608695653,591.6451362318841,591.3591507246377
Month_9,597.3949869565216,586.2459449275362,591.3308579710144,589.5225376811594,591.0477855072463,584.0049710144926,600.720647826087,592.1493434782609,593.5170449275362,593.2331028985508
Month_10,599.347852173913,587.7261536231885,593.0360014492753,591.082315942029,592.7281246376812,585.3899492753623,602.8900086956522,593.8527260869566,595.3889536231884,595.1070550724638
Month_11,601.3007173913043,589.2063623188405,594.7411449275362,592.6420942028985,594.4084637681159,586.7749275362319,605.0593695652174,595.5561086956523,597.2608623188405,596.9810072463769
Month_12,603.2535826086955,590.6865710144928,596.4462884057971,594.2018724637682,596.0888028985507,588.1599057971014,607.2287304347826,597.2594913043479,599.1327710144927,598.8549594202899
