transaction_id,transaction_date,product_id,customer_id,product_category,quantity,unit_price,total_amount,customer_region,customer_age,customer_loyalty_score,product_rating,previous_purchase_count,return_status
1,16/06/2023,2355,33546,home decor,6,41.25,247.5,East,40,79,4,16,1
2,01/03/2024,2624,30044,toys,10,200.5,2005,East,57,75,2,11,1
3,23/06/2023,2804,35333,electronics,3,175.5,526.5,South,36,62,4,29,1
4,06/06/2023,2237,38119,home decor,10,273.3,2733,East,20,72,2,15,1
5,29/08/2023,2943,38300,electronics,10,15.09,150.9,West,51,88,3,24,1
6,15/04/2024,2833,33784,toys,14,175.72,2460.08,West,58,64,5,20,0
7,05/04/2024,2466,37028,toys,13,143.82,1869.66,East,59,35,1,11,0
8,17/08/2023,2858,34155,electronics,11,200.01,2200.11,North,52,61,5,9,1
9,21/08/2024,2361,34788,electronics,13,175.77,2285.01,Central,34,80,4,4,0
10,28/03/2024,2252,37233,electronics,12,31.5,378,East,67,12,4,8,0
11,24/05/2023,2855,30387,electronics,10,17.3,173,West,32,30,4,27,0
12,05/02/2023,2576,37628,clothing,1,12.09,12.09,North,67,2,2,27,1
13,04/11/2024,2812,32848,toys,13,40.85,531.05,South,45,43,1,27,0
14,01/01/2023,2880,30274,electronics,2,264.71,529.42,South,62,41,1,21,0
15,11/09/2023,2128,35353,home decor,2,162.1,324.2,East,32,59,5,10,0
16,24/06/2023,2765,37625,clothing,4,282.36,1129.44,West,69,70,5,13,0
17,29/10/2024,2302,36973,home decor,1,260.83,260.83,South,67,37,2,4,1
18,24/05/2023,2964,30467,home decor,3,193.46,580.38,East,18,32,2,19,0
19,21/05/2023,2813,37705,toys,8,208.84,1670.72,Central,50,17,1,0,0
20,25/01/2023,2681,31806,clothing,5,75.42,377.1,North,49,47,4,6,1
21,25/06/2024,2444,31468,electronics,14,137.23,1921.22,South,56,26,5,0,0
22,10/07/2023,2834,35450,home decor,10,54.8,548,East,33,91,5,24,1
23,16/11/2024,2749,36732,home decor,5,194.74,973.7,North,18,32,3,17,1
24,19/12/2024,2592,38182,electronics,3,197.7,593.1,North,62,86,5,1,0
25,24/05/2024,2225,35864,home decor,3,146.35,439.05,East,18,2,1,1,1
26,22/03/2023,2848,31583,electronics,7,129.75,908.25,East,44,77,5,25,0
27,09/11/2023,2524,31523,clothing,9,5.9,53.1,North,18,76,1,2,0
28,05/10/2023,2955,36910,clothing,5,116.28,581.4,North,29,79,1,29,1
29,22/05/2024,2053,34350,toys,5,50.96,254.8,Central,27,29,2,10,1
30,17/11/2024,2693,34543,electronics,13,20.29,263.77,Central,36,90,2,27,0
31,05/09/2023,2699,31121,home decor,7,196.97,1378.79,North,44,82,4,14,0
32,30/08/2023,2827,37105,home decor,14,222.45,3114.3,South,54,2,3,18,1
33,13/07/2024,2212,38073,home decor,4,179.12,716.48,East,35,17,4,10,0
34,22/08/2024,2721,35685,electronics,1,18.14,18.14,South,41,92,1,10,0
35,07/06/2023,2233,35807,toys,9,147.14,1324.26,Central,63,92,4,27,1
36,29/09/2023,2665,38951,toys,13,107.42,1396.46,North,31,83,1,15,0
37,20/02/2023,2558,30084,toys,6,148.49,890.94,South,56,68,4,15,1
38,02/08/2023,2633,33003,clothing,13,28.11,365.43,East,18,30,5,23,1
39,16/12/2024,2467,32265,toys,14,49.14,687.96,North,54,41,2,17,0
40,28/07/2023,2900,32297,clothing,2,41.93,83.86,Central,25,82,1,4,1
41,05/02/2023,2956,39742,electronics,8,236.15,1889.2,East,34,89,4,4,0
42,10/04/2023,2269,37848,electronics,10,209.35,2093.5,South,52,81,5,24,1
43,07/02/2024,2878,32923,toys,3,49.73,149.19,West,35,83,4,17,0
44,18/10/2024,2601,38383,electronics,11,108.69,1195.59,North,40,95,5,7,1
45,30/03/2024,2906,30402,toys,3,285.61,856.83,Central,43,87,1,23,1
46,16/11/2024,2944,31303,electronics,10,71.48,714.8,West,25,49,2,26,0
47,23/08/2024,2038,33488,electronics,6,167.28,1003.68,South,26,0,5,10,1
48,21/06/2023,2107,35205,clothing,1,89.62,89.62,East,67,86,3,11,1
49,05/08/2024,2564,35784,clothing,3,51.51,154.53,South,26,14,1,21,1
50,26/04/2024,2813,36846,clothing,11,293.8,3231.8,North,52,38,4,3,0
51,29/03/2023,2747,39493,clothing,6,143.65,861.9,North,51,69,4,11,0
52,04/12/2023,2145,32773,home decor,14,142.63,1996.82,East,42,20,5,18,0
53,24/01/2023,2335,38169,home decor,6,196.77,1180.62,East,66,86,2,17,1
54,12/01/2023,2035,32102,toys,11,138.38,1522.18,East,46,13,5,28,1
55,09/01/2023,2510,31056,home decor,13,299.78,3897.14,West,53,59,4,29,1
56,29/01/2024,2681,31415,home decor,7,288.51,2019.57,North,49,77,1,16,1
57,04/02/2023,2828,36537,toys,14,24.77,346.78,South,29,67,1,26,1
58,14/10/2024,2184,38141,clothing,1,97.38,97.38,South,51,60,3,15,1
59,03/08/2024,2825,32973,electronics,5,31.16,155.8,Central,43,61,2,12,1
60,29/09/2023,2591,33253,toys,4,211.27,845.08,South,54,53,4,23,0
61,06/07/2024,2693,30865,home decor,13,188.56,2451.28,East,30,64,2,10,0
62,30/05/2024,2856,37084,clothing,4,146.55,586.2,North,42,28,3,14,1
63,28/04/2023,2578,33045,home decor,6,265.9,1595.4,South,34,18,1,27,1
64,06/07/2023,2215,37379,electronics,9,178.36,1605.24,West,57,75,2,0,1
65,10/03/2024,2386,38228,toys,7,174.25,1219.75,West,26,38,4,20,1
66,25/04/2023,2315,33998,toys,10,236.38,2363.8,East,48,2,4,0,0
67,12/05/2023,2671,36414,toys,14,40.32,564.48,South,18,27,5,20,1
68,11/06/2024,2831,30017,toys,9,176.57,1589.13,East,24,75,2,7,1
69,01/08/2023,2291,39784,home decor,11,282.16,3103.76,West,34,89,2,12,1
70,14/06/2023,2469,36827,toys,10,286.43,2864.3,Central,65,64,1,10,1
71,14/09/2023,2881,34715,home decor,10,113.08,1130.8,South,69,52,1,16,1
72,26/08/2023,2614,38874,electronics,9,265.17,2386.53,West,44,9,4,6,0
73,01/11/2023,2854,32903,electronics,8,200.9,1607.2,South,27,31,4,17,0
74,22/07/2023,2849,37768,home decor,14,282.72,3958.08,North,40,10,4,5,0
75,27/07/2024,2357,32019,electronics,12,165.73,1988.76,South,46,27,3,15,0
76,31/03/2023,2495,35494,toys,1,287.94,287.94,South,22,61,5,8,0
77,27/12/2024,2280,32391,toys,9,30.48,274.32,South,18,80,5,4,0
78,06/11/2023,2772,36749,electronics,1,121.41,121.41,North,63,95,3,12,1
79,12/01/2024,2699,37561,electronics,9,41.99,377.91,East,46,41,3,17,0
80,03/10/2023,2132,39527,electronics,11,254.63,2800.93,West,36,77,2,16,1
81,23/10/2024,2920,37133,electronics,13,40.12,521.56,North,61,2,3,22,1
82,23/05/2023,2862,37847,toys,7,121.47,850.29,West,37,7,2,27,0
83,19/10/2023,2997,39401,electronics,8,253.06,2024.48,Central,62,28,2,18,0
84,27/06/2023,2638,38803,toys,7,186.82,1307.74,Central,21,71,2,23,1
85,22/10/2024,2117,35315,home decor,13,130.18,1692.34,North,23,39,1,19,0
86,11/11/2024,2131,30400,toys,10,159.05,1590.5,North,68,42,5,17,0
87,09/09/2023,2512,36137,toys,9,95.85,862.65,North,19,61,5,17,0
88,27/12/2023,2870,37931,electronics,12,274.95,3299.4,East,26,51,4,13,1
89,24/05/2023,2030,37982,toys,5,159.08,795.4,Central,37,15,2,23,1
90,08/11/2023,2995,34926,electronics,1,226.62,226.62,Central,35,54,3,2,1
91,17/11/2024,2153,34321,home decor,11,130.49,1435.39,East,42,46,3,5,1
92,08/07/2023,2464,38530,electronics,12,96.15,1153.8,North,67,18,3,25,0
93,12/10/2024,2897,30858,clothing,11,59.15,650.65,Central,60,52,4,19,0
94,19/05/2023,2310,32723,toys,12,69.88,838.56,South,36,36,1,22,0
95,10/04/2024,2184,35055,home decor,13,89.82,1167.66,South,62,65,5,14,1
96,20/07/2024,2855,33544,toys,4,173.04,692.16,North,60,15,5,15,1
97,21/11/2024,2658,30951,home decor,13,40.12,521.56,North,22,73,2,3,1
98,18/06/2023,2068,31800,clothing,3,13.39,40.17,East,19,78,2,15,1
99,07/05/2024,2033,36732,toys,10,272.3,2723,North,46,39,3,20,0
100,13/05/2023,2827,38523,electronics,7,215.16,1506.12,South,56,48,5,0,1
101,19/06/2023,2456,32130,home decor,9,208.81,1879.29,Central,51,34,3,15,0
102,03/01/2024,2526,39526,toys,1,201.61,201.61,North,27,63,4,11,0
103,13/08/2023,2725,39160,toys,13,46.9,609.7,North,22,13,4,9,0
104,12/03/2024,2246,38610,electronics,6,194.06,1164.36,East,60,25,4,21,0
105,16/06/2023,2323,31206,toys,14,179.31,2510.34,Central,62,13,4,15,1
106,19/03/2024,2491,39589,home decor,1,124.78,124.78,East,49,53,4,13,0
107,16/01/2024,2529,34385,electronics,2,87.6,175.2,West,64,1,4,12,0
108,14/11/2024,2672,31732,toys,5,198.2,991,East,18,98,1,11,0
109,06/12/2023,2991,35175,toys,4,196.02,784.08,Central,37,25,2,15,1
110,10/08/2023,2714,32811,home decor,4,21.67,86.68,East,59,74,5,29,0
111,28/11/2024,2643,37543,electronics,10,167.24,1672.4,North,69,1,1,6,1
112,24/04/2024,2764,31750,toys,12,112.66,1351.92,West,21,20,1,7,1
